Network,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,,,,Max,Min
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.293918,Cleve...,317,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.045589,Denver,167,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.048969,SanFr...,1053,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.044258,Atlanta,190,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.028018,ElPaso,287,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.051876,Sacra...,540,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.032488,StLouis,101,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.679892,Houston,207,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.527374,Tampa,320,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.054217,Chicago,128,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.179051,Minne...,123,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.045382,LasVegas,537,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.02847,Kansa...,115,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.018803,Washi...,303,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.07339,Phila...,547,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.12304,Dallas,164,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.050661,Nashv...,128,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.090569,Seattle,571,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.058124,Detroit,193,,,,,
